datetime,ping,download,upload
2018-04-28 12:00:00,29.001593589782715,125.56689141838092,6.962998525371532
2018-04-28 12:30:00,28.25164794921875,78.6271044059726,7.260043635797971
2018-04-28 13:00:00,21.501243114471436,129.86311592243497,6.910283676244431
2018-04-28 13:30:00,23.25129508972168,132.75357002869652,7.161655447350857
2018-04-28 14:00:00,25.501489639282227,73.18314405451928,6.977514125977228
2018-04-28 14:30:00,22.50128984451294,129.86311592243497,6.929359484331909
2018-04-28 15:00:00,21.501243114471436,120.14675146660958,6.967827653886389
2018-04-28 15:30:00,25.25150775909424,124.62981272743097,6.649432948779872
2018-04-28 16:00:00,21.751224994659424,120.14675146660959,6.640636445631844
2018-04-28 16:30:00,21.251201629638672,106.64366380260194,5.63447924688438
2018-04-28 17:00:00,22.001266479492188,116.29805904125071,6.558224204604065
2018-04-28 17:30:00,23.501336574554443,118.7795195035859,6.962996222995559
2018-04-28 19:30:01,23.501276969909668,127.48396901298598,7.17188871827749
2018-04-28 20:03:31,23.50139617919922,74.02658110215609,7.371983365158116
2018-04-28 20:24:42,24.501442909240723,110.01575892195522,7.777414433427957
2018-04-28 20:38:03,22.751331329345703,76.67770051677887,7.676330772181136
2018-04-28 21:05:20,22.751331329345703,72.1711296437653,6.636247961608133
2018-04-29 05:00:00,21.00127935409546,132.75351971216764,7.121022367229838
2018-04-29 05:30:00,21.251201629638672,127.48401541424133,7.753390354204165
2018-04-29 05:59:52,23.001372814178467,130.06541692811572,6.8536801396099305
2018-04-29 06:04:54,21.001219749450684,80.44507098965188,6.89131147965745
2018-04-29 06:11:17,20.50119638442993,126.32674349344765,7.0312613363237455
2018-04-29 06:12:54,22.001206874847412,74.6219707606634,6.972666948613146
2018-04-29 06:14:08,20.751118659973145,127.0958939730976,7.0312613363237455
2018-04-29 10:13:24,22.251248359680176,127.28965883714758,5.727691005641072
2018-04-29 10:35:01,22.001266479492188,129.0602611950727,7.0908488586134055
2018-04-29 10:45:01,25.001466274261475,34.20810700323258,6.575404419385399
2018-04-29 11:00:01,21.50118350982666,33.21479193996672,6.835018169842667
